node_id,osm_name,d
n00526,East 39th Street,232.262035808952
n00527,East 39th Street,238.68584151297415
n00528,East 39th Street,246.44888181967912
n00529,East 39th Street,255.65624279864628
n00530,East 39th Street,265.838066093098
n00531,East 39th Street,277.09376350680736
n00532,East 39th Street,289.1893859531314
n00533,East 39th Street,302.12160396813573
n00534,East 39th Street,315.91728830107746
n00535,East 39th Street,330.2281476167285
n00536,East 39th Street,345.10136018525395
n00537,East 39th Street,360.5699603148846
n00538,East 39th Street,376.36685999507085
n00539,East 39th Street,392.581041382471
n00540,East 39th Street,409.19367807007586
n00541,East 39th Street,426.0025552599318
n00542,East 39th Street,443.0737249488899
n00543,East 39th Street,460.42246512304206
n00544,East 39th Street,477.9360092843197
n00545,East 39th Street,495.63520527182357
n00546,East 39th Street,513.5493464883942
n00547,East 39th Street,531.6556266790302
n00548,East 39th Street,549.8566128531995
n00549,East 40th Street,152.50000376994126
n00550,East 40th Street,158.2360758147435
n00551,East 40th Street,166.8558989716245
n00552,East 40th Street,158.12795281950892
n00553,East 40th Street,151.04530282378806
n00554,East 40th Street,142.14154844837344
n00555,East 40th Street,130.73115214305335
n00556,East 40th Street,121.5568483994633
n00557,East 40th Street,115.65277736317661
n00558,East 40th Street,112.74312841098273
n00559,East 40th Street,113.34967660335472
n00560,East 40th Street,117.54477813695976
n00561,East 40th Street,124.8421766219819
n00562,East 40th Street,134.6279954187716
n00563,East 40th Street,146.61549231432102
n00564,East 40th Street,156.52257966862823
n00565,East 40th Street,153.0525697246639
n00566,East 40th Street,152.06162404648512
n00567,East 40th Street,152.03885034216572
n00568,East 40th Street,151.61318310172905
n00569,East 40th Street,147.7614621591285
n00570,East 40th Street,146.47019538036565
n00571,East 40th Street,147.99205338944978
n00572,East 40th Street,152.15611890115366
n00573,East 40th Street,158.64432597680968
n00574,East 40th Street,167.38910083143912
n00575,East 40th Street,177.85553817794008
n00576,East 40th Street,189.9603737232728
n00577,East 40th Street,203.29844639110104
n00578,East 40th Street,217.67659446757298
n00579,East 40th Street,232.81827585652968
n00580,East 40th Street,248.61879639204815
n00581,East 40th Street,265.08100777570013
n00582,East 40th Street,281.907565492839
n00583,East 40th Street,299.11476890857597
